player_name,date,value,club,age
约书亚·齐尔克泽,1.71754E+12,5000万,,
约书亚·齐尔克泽,1.7343E+12,4200万,,
约书亚·齐尔克泽,1.74225E+12,3500万,,
达洛特,1.47519E+12,5万,,
达洛特,1.49877E+12,35万,,
达洛特,1.50482E+12,60万,,
达洛特,1.51934E+12,175万,,
达洛特,1.52383E+12,700万,,
达洛特,1.52884E+12,1500万,,
达洛特,1.54517E+12,1500万,,
达洛特,1.56038E+12,2000万,,
达洛特,1.57593E+12,2000万,,
达洛特,1.5863E+12,1800万,,
达洛特,1.59606E+12,1200万,,
达洛特,1.6092E+12,1200万,,
达洛特,1.61645E+12,1000万,,
达洛特,1.62267E+12,1000万,,
达洛特,1.64021E+12,1200万,,
达洛特,1.6485E+12,1800万,,
达洛特,1.65524E+12,2000万,,
达洛特,1.66319E+12,2800万,,
达洛特,1.66743E+12,3200万,,
达洛特,1.67892E+12,3500万,,
达洛特,1.68721E+12,4000万,,
达洛特,1.70294E+12,3500万,,
达洛特,1.71676E+12,3500万,,
达洛特,1.72773E+12,4000万,,
达洛特,1.7343E+12,4000万,,
达洛特,1.74225E+12,3500万,,
奥纳纳,1.42179E+12,5万,,
奥纳纳,1.42404E+12,15万,,
奥纳纳,1.4357E+12,25万,,
奥纳纳,1.4472E+12,30万,,
奥纳纳,1.45463E+12,40万,,
奥纳纳,1.46007E+12,80万,,
奥纳纳,1.46853E+12,80万,,
奥纳纳,1.48469E+12,300万,,
奥纳纳,1.49679E+12,800万,,
奥纳纳,1.51614E+12,1200万,,
奥纳纳,1.52875E+12,1500万,,
奥纳纳,1.5386E+12,1800万,,
奥纳纳,1.54595E+12,2800万,,
奥纳纳,1.55243E+12,3500万,,
奥纳纳,1.56029E+12,3500万,,
奥纳纳,1.57662E+12,4500万,,
奥纳纳,1.5863E+12,3600万,,
奥纳纳,1.60263E+12,3600万,,
奥纳纳,1.61524E+12,3000万,,
奥纳纳,1.62138E+12,3000万,,
奥纳纳,1.6333E+12,1700万,,
奥纳纳,1.64134E+12,1500万,,
奥纳纳,1.65464E+12,1200万,,
奥纳纳,1.66812E+12,1400万,,
奥纳纳,1.67935E+12,2000万,,
奥纳纳,1.68678E+12,3500万,,
奥纳纳,1.6968E+12,4000万,,
奥纳纳,1.70294E+12,4000万,,
奥纳纳,1.71676E+12,3500万,,
奥纳纳,1.7343E+12,3500万,,
奥纳纳,1.74225E+12,3200万,,
马兹拉维,1.46732E+12,2万,,
马兹拉维,1.48599E+12,8万,,
马兹拉维,1.498E+12,20万,,
马兹拉维,1.51986E+12,60万,,
马兹拉维,1.52875E+12,150万,,
马兹拉维,1.5386E+12,600万,,
马兹拉维,1.54595E+12,1200万,,
马兹拉维,1.56029E+12,1800万,,
马兹拉维,1.56884E+12,1500万,,
马兹拉维,1.57662E+12,1500万,,
马兹拉维,1.58397E+12,1200万,,
马兹拉维,1.5863E+12,950万,,
马兹拉维,1.60263E+12,1400万,,
马兹拉维,1.60989E+12,1500万,,
马兹拉维,1.61524E+12,1700万,,
马兹拉维,1.62138E+12,1700万,,
马兹拉维,1.6333E+12,1800万,,
马兹拉维,1.64134E+12,2000万,,
马兹拉维,1.65464E+12,2000万,,
马兹拉维,1.66795E+12,2500万,,
马兹拉维,1.67175E+12,2800万,,
马兹拉维,1.68738E+12,2800万,,
马兹拉维,1.70251E+12,3000万,,
马兹拉维,1.71693E+12,3000万,,
马兹拉维,1.7343E+12,3200万,,
梅森·芒特 ,1.50085E+12,40万,,
梅森·芒特 ,1.50897E+12,75万,,
梅森·芒特 ,1.51614E+12,100万,,
梅森·芒特 ,1.5221E+12,200万,,
梅森·芒特 ,1.52875E+12,400万,,
梅森·芒特 ,1.55122E+12,1000万,,
梅森·芒特 ,1.56038E+12,1200万,,
梅森·芒特 ,1.56824E+12,3500万,,
梅森·芒特 ,1.57593E+12,4500万,,
梅森·芒特 ,1.5863E+12,4050万,,
梅森·芒特 ,1.60254E+12,4500万,,
梅森·芒特 ,1.61602E+12,6000万,,
梅森·芒特 ,1.62215E+12,7500万,,
梅森·芒特 ,1.64021E+12,7500万,,
梅森·芒特 ,1.65524E+12,7500万,,
